Timestamp,Voltage,Raw Value
1685360869.4245222,0.5572670064394055,4459
1685360869.4448724,0.5575170140690329,4460
1685360869.465752,0.5576420178838466,4462
1685360869.4862533,0.5576420178838466,4463
1685360869.5067272,0.5577670216986602,4464
1685360869.527592,0.5578920255134739,4464
1685360869.5484252,0.5580170293282877,4465
1685360869.569507,0.5581420331431013,4466
1685360869.5908525,0.5581420331431013,4466
1685360869.6117976,0.5583920407727287,4468
1685360869.6325738,0.5585170445875424,4468
1685360869.653452,0.5586420484023561,4469
1685360869.6742702,0.5587670522171697,4470
1685360869.6951241,0.5587670522171697,4471
1685360869.7161012,0.5588920560319834,4471
1685360869.7365313,0.5588920560319834,4472
1685360869.7574565,0.5591420636616108,4472
1685360869.7783272,0.5592670674764245,4473
1685360869.7991557,0.5590170598467972,4473
1685360869.8199844,0.5592670674764245,4474
1685360869.8407867,0.5592670674764245,4475
1685360869.861591,0.5593920712912382,4476
1685360869.8826048,0.5593920712912382,4475
1685360869.903522,0.5593920712912382,4475
1685360869.9243999,0.5595170751060519,4477
1685360869.9452615,0.5595170751060519,4476
1685360869.966312,0.5596420789208656,4477
1685360869.9871688,0.5596420789208656,4478
1685360870.0080357,0.5597670827356792,4479
1685360870.0291867,0.5598920865504929,4479
1685360870.0503883,0.5598920865504929,4479
1685360870.0709968,0.5600170903653066,4481
1685360870.0914588,0.5600170903653066,4480
1685360870.1124508,0.5601420941801202,4480
1685360870.1334078,0.5601420941801202,4481
1685360870.1541202,0.5602670979949339,4481
1685360870.1747825,0.5601420941801202,4483
1685360870.1958697,0.5602670979949339,4481
1685360870.2162082,0.5602670979949339,4484
1685360870.2372024,0.5601420941801202,4482
1685360870.2581496,0.5605171056245613,4483
1685360870.279043,0.5603921018097475,4482
1685360870.2999988,0.5605171056245613,4482
1685360870.3209736,0.5605171056245613,4483
1685360870.3418753,0.5605171056245613,4484
1685360870.3623333,0.5605171056245613,4484
1685360870.383254,0.5603921018097475,4484
1685360870.4041717,0.5605171056245613,4485
